"","placelist...1.","X","positions","X.1","day1$testing_rate_final","day2$testing_rate_final","day3$testing_rate_final","day4$testing_rate_final","day5$testing_rate_final","day6$testing_rate_final","day1$population","diff1","diff2","diff3","diff4","diff5","averages"
"27","City of El Segundo, CA",27,33.91918,-118.41647,27916,30245,30448,30704,30948,31133,16786,1.08342885800258,1.00671185319888,1.0084077771939,1.00794684731631,1.00597776916117,0.0224946209745687
"28","City of Gardena, CA",28,33.888315,-118.295256,24856,25446,25640,25836,26120,26322,61310,1.02373672352752,1.00762398805313,1.00764430577223,1.01099241368633,1.00773353751914,0.0115461937116705
"29","City of Glendale, CA",29,34.17051,-118.289463,24530,25126,25302,25454,25743,26043,206493,1.02429677945373,1.00700469633049,1.00600743024267,1.0113538147246,1.01165365342035,0.0120632748343683
"30","City of Glendora, CA",30,34.119363,-117.855059,20959,21513,21706,21797,22068,22383,52764,1.02643255880529,1.00897131966718,1.00419238920114,1.01243290361059,1.01427406199021,0.0132606466548815
"31","City of Hawaiian Gardens, CA",31,33.830967,-118.072796,22104,22554,22670,22738,22949,23119,14676,1.02035830618892,1.00514321184712,1.0029995588884,1.00927962001935,1.00740773018432,0.00903768542562378
"32","City of Hawthorne, CA",32,33.914775,-118.348083,24712,25229,25424,25576,25821,26034,88787,1.02092101003561,1.00772920052321,1.0059786028949,1.00957929308727,1.00824909957012,0.0104914412222215
"33","City of Hermosa Beach, CA",33,33.86224,-118.39952,30336,31210,31479,31800,32156,32328,19670,1.02881065400844,1.00861903236142,1.01019727437339,1.01119496855346,1.00534892399552,0.0128341706584467
"34","City of Hidden Hills, CA",34,34.160283,-118.65231,31746,32857,33016,33439,33862,34233,1890,1.03499653499654,1.00483915147457,1.01281196995396,1.01264989981758,1.01095623412675,0.0152507580738792
"35","City of Huntington Park, CA",35,33.977987,-118.213137,27500,28039,28245,28362,28719,29070,59484,1.0196,1.00734690966154,1.00414232607541,1.01258726464988,1.01222187402068,0.0111796748815043
"36","City of Industry, CA",36,34.0197,-117.9587,95881,99085,100229,104577,120595,128375,437,1.03341642244032,1.01154564263007,1.04338065829251,1.1531694349618,1.06451345412331,0.0612051224895991
"37","City of Inglewood, CA",37,33.956526,-118.358654,26369,26971,27157,27346,27681,27962,113582,1.02282983806743,1.00689629602165,1.00695953161248,1.01225042053682,1.0101513673639,0.0118174907204553
"38","City of Irwindale, CA",38,34.106953,-117.935341,31186,31803,32077,31597,32214,32557,1459,1.01978451869429,1.00861553941452,0.985036007107897,1.01952717030098,1.01064754454585,0.00872215601270621
"39","City of La Canada Flintridge, CA",39,34.222261,-118.205369,26545,27251,27478,27787,28067,28372,20693,1.02659634582784,1.0083299695424,1.0112453599243,1.01007665455069,1.01086685431289,0.0134230368316257
"40","City of La Habra Heights, CA",40,33.960846,-117.950619,2200,2273,2273,1705,1705,1705,5455,1.03318181818182,1,0.750109986801584,1,1,-0.0433416390033196
"41","City of La Mirada, CA",41,33.9172,-118.012,20448,20958,21164,21295,21545,21738,49599,1.02494131455399,1.00982918217387,1.00618975618976,1.01173984503405,1.00895799489441,0.0123316185692142
