"","placelist...1.","coordinates[, 2]","coordinates[, 3]","df1 <- day1$persons_tested_final","df2 <- day2$persons_tested_final","df3 <- day3$persons_tested_final","df4 <- day4$persons_tested_final","df5 <- day5$persons_tested_final","df6 <- day6$persons_tested_final","(located$df2/located$df1)","(located$df3/located$df2)","(located$df4/located$df3)","(located$df5/located$df4)","(located$df6/located$df5)","averages"
"18","City of Commerce, CA",34,-118.1598,4162,4258,4285,4312,4353,4403,1.02306583373378,1.00634100516674,1.00630105017503,1.00950834879406,1.01148633126579,0.0113405138270826
"19","City of Compton, CA",33.874815,-118.240208,27606,28062,28287,28436,28735,28964,1.01651814822865,1.00801796023092,1.00526743733871,1.01051484034323,1.00796937532626,0.00965755229355083
"20","City of Covina, CA",34.097345,-117.906736,12474,12783,12894,12917,13020,13211,1.02477152477152,1.00868340765079,1.00178377539941,1.00797398776806,1.01466973886329,0.0115764868906133
"21","City of Cudahy, CA",33.96057,-118.185349,6685,6816,6876,6914,6999,7102,1.01959611069559,1.00880281690141,1.00552646887725,1.012293896442,1.01471638805544,0.0121871361943376
"22","City of Culver City, CA",33.998214,-118.394059,13275,13690,13788,13941,14117,14228,1.03126177024482,1.00715850986121,1.01109660574413,1.01262463237931,1.0078628603811,0.0140008757221145
"23","City of Diamond Bar, CA",34.02862,-117.81034,10521,10766,10899,11024,11157,11249,1.02328675981371,1.01235370611183,1.01146894210478,1.01206458635704,1.00824594425025,0.0134839877275211
"24","City of Downey, CA",33.9401,-118.1332,33081,33746,34049,34232,34575,34794,1.02010217345304,1.00897884193682,1.00537460718376,1.01001986445431,1.00633405639913,0.0101619086854141
"25","City of Duarte, CA",34.1395,-117.9773,5621,5716,5748,5800,5853,5901,1.01690090731187,1.00559832050385,1.00904662491301,1.00913793103448,1.00820092260379,0.00977694127340079
"26","City of El Monte, CA",34.078573,-118.043456,29038,29524,29830,29964,30173,30325,1.01673668985467,1.01036444926162,1.00449212202481,1.00697503671072,1.00503761641202,0.00872118285276837
"27","City of El Segundo, CA",33.91918,-118.41647,4686,5077,5111,5154,5195,5226,1.08344003414426,1.00669686822927,1.00841322637449,1.00795498641832,1.00596727622714,0.0224944782786945
"28","City of Gardena, CA",33.888315,-118.295256,15239,15601,15720,15840,16014,16138,1.0237548395564,1.00762771617204,1.00763358778626,1.01098484848485,1.00774322467841,0.0115488433355912
"29","City of Glendale, CA",34.17051,-118.289463,50653,51883,52247,52561,53157,53778,1.024282865773,1.00701578551741,1.00600991444485,1.01133920587508,1.01168237485185,0.0120660292924399
"30","City of Glendora, CA",34.119363,-117.855059,11059,11351,11453,11501,11644,11810,1.02640383398137,1.00898599242358,1.00419104164848,1.01243370141727,1.01425626932326,0.0132541677587897
"31","City of Hawaiian Gardens, CA",33.830967,-118.072796,3244,3310,3327,3337,3368,3393,1.02034525277435,1.00513595166163,1.00300571085062,1.00928978124064,1.00742280285036,0.00903989987551834
"32","City of Hawthorne, CA",33.914775,-118.348083,21941,22400,22573,22708,22926,23115,1.02091973930085,1.00772321428571,1.0059805962876,1.0096001409195,1.00824391520544,0.010493521199822
"33","City of Hermosa Beach, CA",33.86224,-118.39952,5967,6139,6192,6255,6325,6359,1.02882520529579,1.00863332790357,1.01017441860465,1.01119104716227,1.00537549407115,0.0128398986074857
"34","City of Hidden Hills, CA",34.160283,-118.65231,600,621,624,632,640,647,1.035,1.0048309178744,1.01282051282051,1.0126582278481,1.0109375,0.015249431708602
"35","City of Huntington Park, CA",33.977987,-118.213137,16358,16679,16801,16871,17083,17292,1.01962342584668,1.00731458720547,1.00416641866556,1.01256594155652,1.01223438506117,0.0111809516670786
"36","City of Industry, CA",34.0197,-117.9587,419,433,438,457,527,561,1.03341288782816,1.01154734411085,1.04337899543379,1.15317286652079,1.06451612903226,0.0612056445851705
"37","City of Inglewood, CA",33.956526,-118.358654,29950,30634,30846,31060,31441,31760,1.02283806343907,1.00692041522491,1.0069376904623,1.01226658081133,1.01014598772304,0.011821747532129
"38","City of Irwindale, CA",34.106953,-117.935341,455,464,468,461,470,475,1.01978021978022,1.00862068965517,0.985042735042735,1.01952277657267,1.01063829787234,0.00872094378462718
"39","City of La Canada Flintridge, CA",34.222261,-118.205369,5493,5639,5686,5750,5808,5871,1.02657928272347,1.00833481113673,1.01125571579318,1.01008695652174,1.01084710743802,0.0134207747226249
"40","City of La Habra Heights, CA",33.960846,-117.950619,120,124,124,93,93,93,1.03333333333333,1,0.75,1,1,-0.0433333333333333
"41","City of La Mirada, CA",33.9172,-118.012,10142,10395,10497,10562,10686,10782,1.02494577006508,1.00981240981241,1.00619224540345,1.01174020071956,1.00898371701291,0.0123348686026818
"42","City of La Puente, CA",34.031415,-117.93647,10039,10212,10291,10322,10414,10521,1.01723279211077,1.00773599686643,1.00301234088038,1.00891300135633,1.01027463030536,0.00943375230385302
"43","City of La Verne, CA",34.10084,-117.76784,6885,7051,7123,7184,7262,7323,1.0241103848947,1.01021131754361,1.00856380738453,1.0108574610245,1.00839988983751,0.0124285721369696
"44","City of Lakewood, CA",33.8536,-118.134,19194,19686,19846,19944,20181,20368,1.02563301031572,1.00812760337296,1.00493802277537,1.01188327316486,1.00926614142015,0.0119696102098117
"45","City of Lancaster, CA",34.713292,-118.15292,33036,33947,34372,34608,35166,35584,1.02757597772127,1.01251951571567,1.00686605376469,1.01612343966713,1.01188648126031,0.0149942936258156
