"","placelist...1.","X","positions","X.1","day1$testing_rate_final","day2$testing_rate_final","day3$testing_rate_final","day4$testing_rate_final","day5$testing_rate_final","day6$testing_rate_final","Population","diff1","diff2","diff3","diff4","diff5","change1","change2","change3","change4","average"
"244","Unincorporated - Del Aire, CA",244,33.9161,-118.3695,25450,26269,26542,26565,26906,27157,4393,0.186432961529706,0.0621443205099021,0.00523560209424084,0.077623491918962,0.0571363532893239,0.333333333333333,0.0842490842490843,14.8260869565217,0.736070381231672,2.99493493883396
"245","Unincorporated - Del Rey, CA",245,33.986,-118.4249,63522,64465,64465,65723,66352,66667,318,2.96540880503145,0,3.9559748427673,1.97798742138365,0.990566037735849,0,Inf,0.5,0.500794912559618,Inf
"246","Unincorporated - Del Sur, CA",246,34.689707,-118.288688,14990,15652,15776,15901,16108,16356,2415,0.274120082815735,0.0513457556935818,0.05175983436853,0.0857142857142857,0.102691511387164,0.187311178247734,1.00806451612903,1.656,1.19806763285024,0.012360831806752
"247","Unincorporated - Desert View Highlands, CA",247,34.408383,-118.123597,20979,21781,22262,22463,23105,23466,2493,0.321700762133975,0.192940232651424,0.0806257521058965,0.257521058965102,0.144805455274769,0.599750623441397,0.417879417879418,3.19402985074627,0.562305295950156,0.19349129700431
"248","Unincorporated - Duarte, CA",248,34.1395,-117.9773,31120,31504,31572,31707,32023,32159,4428,0.0867208672086721,0.015356820234869,0.0304878048780488,0.0713640469738031,0.030713640469738,0.177083333333333,1.98529411764706,2.34074074074074,0.430379746835443,0.233374484639144
"249","Unincorporated - East Covina, CA",249,34.097345,-117.906736,24012,24316,24316,24316,24924,25228,329,0.924012158054711,0,0,1.84802431610942,0.924012158054711,0,NA,Inf,0.5,NA
"250","Unincorporated - East La Mirada, CA",250,33.9244,-117.9889,21296,21769,22052,22147,22260,22449,5292,0.0893801965230537,0.0534769463340892,0.0179516250944822,0.0213529856386999,0.0357142857142857,0.59830866807611,0.335689045936396,1.18947368421053,1.67256637168142,-0.0509905575238881
"251","Unincorporated - East Lancaster, CA",251,34.713292,-118.15292,21930,21930,21930,21930,21930,21930,114,0,0,0,0,0,NA,NA,NA,NA,NA
"252","Unincorporated - East Los Angeles, CA",252,34.023902,-118.172016,33084,33644,33897,34204,34606,35006,125269,0.00447037974279351,0.00201965370522635,0.00245072603756716,0.0032090940296482,0.00319312838770965,0.451785714285714,1.21343873517787,1.30944625407166,0.995024875621891,-0.00757610521071703
"253","Unincorporated - East Pasadena, CA",253,34.1382,-118.0742,19850,20756,21006,21037,21443,21740,6403,0.141496173668593,0.0390441980321724,0.00484148055598938,0.063407777604248,0.0463845072622208,0.275938189845475,0.124,13.0967741935484,0.731527093596059,2.55705986924748
"254","Unincorporated - East Rancho Dominguez, CA",254,33.874815,-118.240208,26058,26483,26698,26810,27084,27391,15308,0.0277632610399791,0.0140449438202247,0.00731643585053567,0.0178991377057748,0.020054873268879,0.505882352941176,0.52093023255814,2.44642857142857,1.12043795620438,0.148419778283067
"255","Unincorporated - East Whittier, CA",255,33.963346,-118.018121,19129,19506,19714,19732,19921,20034,5306,0.0710516396532228,0.0392009046362608,0.00339238597813796,0.0356200527704486,0.0212966453071994,0.551724137931034,0.0865384615384615,10.5,0.597883597883598,1.93403654933827
"256","Unincorporated - El Camino Village, CA",256,33.8895,-118.3309,20896,21329,21454,21568,21693,21852,8791,0.0492549198043454,0.014219087703333,0.0129678079854397,0.014219087703333,0.0180866795586395,0.288683602771363,0.912,1.09649122807018,1.272,-0.107706292289615
"257","Unincorporated - El Monte, CA",257,34.078573,-118.043456,26897,26897,26897,26897,26897,27586,145,0,0,0,0,4.75172413793103,NA,NA,NA,Inf,NA
"258","Unincorporated - Elizabeth Lake, CA",258,34.6661,-118.3973,10957,11258,11379,11439,11620,11680,1661,0.181216134858519,0.0728476821192053,0.0361228175797712,0.108970499698977,0.0361228175797712,0.401993355481728,0.495867768595041,3.01666666666667,0.331491712707182,0.0615048758626544
"259","Unincorporated - Florence-Firestone, CA",259,33.974459,-118.248129,30534,31076,31251,31406,31756,32002,64705,0.00837647786106174,0.00270458233521366,0.00239548721118924,0.00540916467042732,0.00380187002550035,0.322878228782288,0.885714285714286,2.25806451612903,0.702857142857143,0.0423785433706871
"260","Unincorporated - Franklin Canyon, CA",260,34.1031,-118.4131,16667,16667,16667,16667,16667,16667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
