"","day1.MODIFIED_ZCTA","day1","day2","day3","day4","day5","day6","day7","rate1","rate2","rate3","rate4","rate5","rate6","Average","Location"
"72",10466,15921,16276,16554,16966,17257,17678,17921,1.02229759437221,1.01708036372573,1.02488824453304,1.01715195096074,1.02439589731703,1.01374589885734,0.01992665829435,"Edenwald/Wakefield"
"73",10467,25276,25807,26341,27066,27655,28282,28668,1.02100807089729,1.02069206029372,1.0275236323602,1.02176161974433,1.02267221117339,1.01364825684181,0.0212176418851224,"Allerton/Norwood/Pelham Parkway/Williamsbridge"
"74",10468,20488,20861,21252,21780,22077,22534,22815,1.01820577899258,1.01874310915105,1.02484472049689,1.01363636363636,1.02070027630566,1.01247004526493,0.0181000489745795,"Fordham/Kingsbridge/University Heights"
"75",10469,19117,19502,19929,20442,20726,21143,21404,1.020139143171,1.0218951902369,1.02574138190577,1.01389296546326,1.02011965647013,1.01234451118574,0.0190221414054659,"Allerton/Baychester/Pelham Gardens/Williamsbridge"
"76",10470,3206,3283,3362,3482,3541,3649,3711,1.02401746724891,1.02406335668596,1.03569303985723,1.01694428489374,1.03049985879695,1.01699095642642,0.0247014939848669,"Wakefield/Woodlawn"
"77",10471,7112,7278,7450,7734,7853,8009,8083,1.02334083239595,1.02363286617203,1.03812080536913,1.01538660460305,1.01986501973768,1.00923960544388,0.0215976222869518,"Fieldston/North Riverdale/Riverdale"
"78",10472,13650,13998,14310,14916,15251,15718,16052,1.02549450549451,1.02228889841406,1.04234800838574,1.02245910431751,1.03062094288899,1.02124952284006,0.0274101637234778,"Soundview"
"79",10473,14512,14788,15087,15535,15790,16153,16409,1.01901874310915,1.02021909656478,1.02969443892093,1.0164145477953,1.02298923369221,1.01584844920448,0.0206974182144752,"Castle Hill/Clason Point/Soundview"
"80",10474,2549,2604,2656,2721,2776,2837,2880,1.02157708905453,1.01996927803379,1.02447289156627,1.0202131569276,1.02197406340058,1.01515685583363,0.0205605558027324,"Hunts Point"
"81",10475,11605,11895,12220,12500,12708,12998,13176,1.0249892287807,1.02732240437158,1.02291325695581,1.01664,1.02282027069562,1.01369441452531,0.0213965958881714,"Co-op City/Edenwald"
"82",11004,5334,5450,5551,5701,5768,5919,5996,1.0217472815898,1.01853211009174,1.0270221581697,1.01175232415366,1.02617891816921,1.01300895421524,0.0197069577315583,"Bellerose/Douglaston-Little Neck"
"83",11101,10825,11173,11509,11981,12181,12569,12762,1.03214780600462,1.03007249619619,1.04101138239639,1.01669309740422,1.03185288564157,1.01535523908028,0.0278554844538774,"Astoria (South)/Long Island City/Sunnyside"
"84",11102,8210,8400,8572,8859,8993,9247,9377,1.0231425091352,1.02047619047619,1.03348110125992,1.01512586070663,1.0282441899255,1.01405861360441,0.0224214108513072,"Astoria (North)"
"85",11103,8986,9224,9389,9757,9903,10168,10315,1.02648564433563,1.01788811795317,1.03919480242837,1.01496361586553,1.02675956780774,1.01445712037766,0.0232914781280158,"Astoria (North)/Astoria (South)"
"86",11104,6423,6559,6683,6929,7022,7211,7306,1.02117390627433,1.01890532093307,1.03680981595092,1.01342185019483,1.02691540871547,1.01317431701567,0.0217334365140476,"Sunnyside"
"87",11105,8314,8554,8739,9032,9186,9428,9461,1.02886697137359,1.02162730886135,1.03352786359995,1.01705048715678,1.02634443718702,1.00350021213407,0.0218195467187936,"Ditmars Steinway"
